event_key,conversation_title,referenced_by,reference_sources,roles,in_xlsx,in_export,text_agrees,observed_count,status,confidence,xlsx_text,export_text,relocation_candidates,note,evidence
DialogueNodeEvent:10:1,U3/Tera,U3P1,docs;grading,U3P1:doc-start-marker,True,True,True,1,EXACT_MATCH,HIGH,"No, this angle's never going to work. You can't even see the lean-to!","No, this angle's never going to work. You can't even see the lean-to!",,ID exists in current dialogue DB and fired in this playthrough,"xlsx[10,1]=""No, this angle's never going to work. You can't even see the"" || export[10,1]=""No, this angle's never going to work. You can't even see the"" || observed x1, e.g. _id=6a960f54485cab4c953db85d ts=2026-08-31T23:33:40.9540000Z (wenyi083126-1.stratalog.logdata.json)"
DialogueNodeEvent:10:30,U3/Tera,U3P1,grading,U3P1:Target,True,True,True,3,EXACT_MATCH,HIGH,"Looks like you picked the right river, and where you dropped the crate was upstream of my base! Thanks!","Looks like you picked the right river, and where you dropped the crate was upstream of my base! Thanks!",,ID exists in current dialogue DB and fired in this playthrough,"xlsx[10,30]='Looks like you picked the right river, and where you dropped' || export[10,30]='Looks like you picked the right river, and where you dropped' || observed x3, e.g. _id=6a96104f485cab4c953db95b ts=2026-08-31T23:37:51.9220000Z (wenyi083126-1.stratalog.logdata.json)"
DialogueNodeEvent:10:194,U3/Tera,U3P5,docs;grading,U3P5:Trigger;U3P5:doc-end-marker,True,True,True,1,EXACT_MATCH,HIGH,"Thank you, deputy. Brilliant work today. I knew you were the right choice. The food Tera’s going to supply the base with the help of the super nutrient will be able to keep us fed indefinitely.","Thank you, deputy. Brilliant work today. I knew you were the right choice. The food Tera’s going to supply the base with the help of the super nutrient will be able to keep us fed indefinitely.",,ID exists in current dialogue DB and fired in this playthrough,"xlsx[10,194]='Thank you, deputy. Brilliant work today. I knew you were the' || export[10,194]='Thank you, deputy. Brilliant work today. I knew you were the' || observed x1, e.g. _id=6a961436485cab4c953dc555 ts=2026-08-31T23:54:30.6660000Z (wenyi083126-1.stratalog.logdata.json)"
DialogueNodeEvent:11:22,U3/DANI,U3P1,grading,U3P1:Trigger,True,True,True,1,EXACT_MATCH,HIGH,"Hey, TK! Looks like the last crates are back. And, you bought me enough time to get all of our seeds planted! Mind getting back here and helping me get the last of the equipment set up?","Hey, TK! Looks like the last crates are back. And, you bought me enough time to get all of our seeds planted! Mind getting back here and helping me get the last of the equipment set up?",,ID exists in current dialogue DB and fired in this playthrough,"xlsx[11,22]='Hey, TK! Looks like the last crates are back. And, you bough' || export[11,22]='Hey, TK! Looks like the last crates are back. And, you bough' || observed x1, e.g. _id=6a9610c8485cab4c953dba77 ts=2026-08-31T23:39:53.0860000Z (wenyi083126-1.stratalog.logdata.json)"
DialogueNodeEvent:11:27,U3/DANI,U3P2,grading,U3P2:Penalty group 1,True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,"Pollution will only flow downstream, so we need to test further upstream.","Pollution will only flow downstream, so we need to test further upstream.",,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[11,27]='Pollution will only flow downstream, so we need to test furt' || export[11,27]='Pollution will only flow downstream, so we need to test furt'"
DialogueNodeEvent:11:29,U3/DANI,U3P2,grading,U3P2:Penalty group 2,True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,Green checkmark means clean. You won't need to check upstream of a clean sensor.,Green checkmark means clean. You won't need to check upstream of a clean sensor.,,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[11,29]=""Green checkmark means clean. You won't need to check upstrea"" || export[11,29]=""Green checkmark means clean. You won't need to check upstrea"""
DialogueNodeEvent:11:34,U3/DANI,U3P2;U3P3,docs;grading,U3P2:Trigger;U3P2:doc-end-marker;U3P3:doc-start-marker,True,True,True,1,EXACT_MATCH,HIGH,"I have overlaid the collected sensor data on the map. [em6]By observing the clean versus polluted areas of the river, you have determined the source of the pollution.[/em6] This information should hel","I have overlaid the collected sensor data on the map. [em6]By observing the clean versus polluted areas of the river, you have determined the source of the pollution.[/em6] This information should hel",,ID exists in current dialogue DB and fired in this playthrough,"xlsx[11,34]='I have overlaid the collected sensor data on the map. [em6]B' || export[11,34]='I have overlaid the collected sensor data on the map. [em6]B' || observed x1, e.g. _id=6a96116c485cab4c953dbcc1 ts=2026-08-31T23:42:36.2610000Z (wenyi083126-1.stratalog.logdata.json)"
DialogueNodeEvent:11:230,U3/DANI,U3P2,grading,U3P2:Penalty group 2,True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,You are as far upstream as you can go in this branch. Please proceed downstream.,You are as far upstream as you can go in this branch. Please proceed downstream. ,,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[11,230]='You are as far upstream as you can go in this branch. Please' || export[11,230]='You are as far upstream as you can go in this branch. Please'"
DialogueNodeEvent:18:1,U2/DANI,U2P1,grading,,True,True,True,1,EXACT_MATCH,HIGH,C-c-c-communication sys-systems are re-restoring. I am… active.,C-c-c-communication sys-systems are re-restoring. I am… active.,,ID exists in current dialogue DB and fired in this playthrough,"xlsx[18,1]='C-c-c-communication sys-systems are re-restoring. I am… acti' || export[18,1]='C-c-c-communication sys-systems are re-restoring. I am… acti' || observed x1, e.g. _id=6a96092d485cab4c953da5d7 ts=2026-08-31T23:07:25.5530000Z (wenyi083126-1.stratalog.logdata.json)"
DialogueNodeEvent:18:99,U2/DANI,U2P2,docs,,True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,Anderson said that Toppo’s pod was northwest of our original location. We should look for a location on a hill at an elevation of approximately 90 feet. Remember you can move the waypoint on your map ,Anderson said that Toppo’s pod was northwest of our original location. We should look for a location on a hill at an elevation of approximately 90 feet. Remember you can move the waypoint on your map ,,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[18,99]='Anderson said that Toppo’s pod was northwest of our original' || export[18,99]='Anderson said that Toppo’s pod was northwest of our original'"
DialogueNodeEvent:18:223,U2/DANI,U2P2,docs,,True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,"Remember to use your map. To open it, [press M/tap the Map button]..","Remember to use your map. To open it, [press M/tap the Map button]..",,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[18,223]='Remember to use your map. To open it, [press M/tap the Map b' || export[18,223]='Remember to use your map. To open it, [press M/tap the Map b'"
DialogueNodeEvent:18:224,U2/DANI,U2P2,docs,,True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,"We need to find Toppo soon, TK. Use your map to find an area on a hill at an elevation of approximately 90 feet.","We need to find Toppo soon, TK. Use your map to find an area on a hill at an elevation of approximately 90 feet.",,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[18,224]='We need to find Toppo soon, TK. Use your map to find an area' || export[18,224]='We need to find Toppo soon, TK. Use your map to find an area'"
DialogueNodeEvent:18:225,U2/DANI,U2P3,docs;grading,U2P3:Target (wrong direction),True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,Anderson said that Tera’s pod was beside a nearby river. Let’s look for a river closer to where we started.,Anderson said that Tera’s pod was beside a nearby river. Let’s look for a river closer to where we started.,,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[18,225]='Anderson said that Tera’s pod was beside a nearby river. Let' || export[18,225]='Anderson said that Tera’s pod was beside a nearby river. Let'"
DialogueNodeEvent:18:226,U2/DANI,U2P3,docs;grading,U2P3:Target (wrong direction),True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,This area has a fairly high elevation. We’re looking for an area with low elevation. Check your map and see if you can find any good candidates on the eastern shore of a river.,This area has a fairly high elevation. We’re looking for an area with low elevation. Check your map and see if you can find any good candidates on the eastern shore of a river.,,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[18,226]='This area has a fairly high elevation. We’re looking for an ' || export[18,226]='This area has a fairly high elevation. We’re looking for an '"
DialogueNodeEvent:18:227,U2/DANI,U2P3,docs;grading,U2P3:Target (wrong direction),True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,"Tera’s pod crashed on the eastern shore of a river, but we’re on the western shore. We should make our way to the eastern shore of this river.  Check the compass rose on your map to find it.","Tera’s pod crashed on the eastern shore of a river, but we’re on the western shore. We should make our way to the eastern shore of this river.  Check the compass rose on your map to find it.",,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[18,227]='Tera’s pod crashed on the eastern shore of a river, but we’r' || export[18,227]='Tera’s pod crashed on the eastern shore of a river, but we’r'"
