status,severity,category,event_type,field,summary,observed,expected,evidence,examples,spec_source
WARNING,Medium,duplicates,ObjectInterEvent,,"exact duplicate records (same timestamp, scene and data)","2 group(s), 2 redundant record(s)",each gameplay moment logged once,,wenyi090326-2.stratalog.logdata.json[1353] _id=6a9b1934485cab4c953fb4dc ts=2026-09-04T19:17:08.2900000Z == wenyi090326-2.stratalog.logdata.json[1352] _id=6a9b1934485cab4c953fb4de ts=2026-09-04T19:17:08.2900000Z | wenyi090326-2.stratalog.logdata.json[1319] _id=6a9b1959485cab4c953fb520 ts=2026-09-04T19:17:45.7410000Z == wenyi090326-2.stratalog.logdata.json[1318] _id=6a9b1959485cab4c953fb522 ts=2026-09-04T19:17:45.7410000Z,
WARNING,Medium,duplicates,PuzzlePieceVisibleEvent,,"exact duplicate records (same timestamp, scene and data)","19 group(s), 25 redundant record(s)",each gameplay moment logged once,,wenyi090326-2.stratalog.logdata.json[5229] _id=6a9b0806485cab4c953f9422 ts=2026-09-04T18:03:45.2180000Z == wenyi090326-2.stratalog.logdata.json[5230] _id=6a9b0806485cab4c953f9424 ts=2026-09-04T18:03:45.2180000Z | wenyi090326-2.stratalog.logdata.json[5227] _id=6a9b0806485cab4c953f9426 ts=2026-09-04T18:03:45.2860000Z == wenyi090326-2.stratalog.logdata.json[5228] _id=6a9b0806485cab4c953f9428 ts=2026-09-04T18:03:45.2860000Z | wenyi090326-2.stratalog.logdata.json[4421] _id=6a9b0b1f485cab4c953f9a66 ts=2026-09-04T18:17:02.7670000Z == wenyi090326-2.stratalog.logdata.json[4426] _id=6a9b0b1f485cab4c953f9a68 ts=2026-09-04T18:17:02.7670000Z,
WARNING,Medium,duplicates,crash,,"exact duplicate records (same timestamp, scene and data)","1 group(s), 1 redundant record(s)",each gameplay moment logged once,,wenyi090326-2.stratalog.logdata.json[5836] _id=6a9b14e9485cab4c953fac78 ts=? == wenyi090326-2.stratalog.logdata.json[5835] _id=6a9b16bf485cab4c953faee8 ts=?,
WARNING,Medium,duplicates,questEvent,,"exact duplicate records (same timestamp, scene and data)","1 group(s), 1 redundant record(s)",each gameplay moment logged once,,wenyi090326-2.stratalog.logdata.json[212] _id=6a9b237f485cab4c953fc372 ts=2026-09-04T20:01:03.4260000Z == wenyi090326-2.stratalog.logdata.json[213] _id=6a9b237f485cab4c953fc374 ts=2026-09-04T20:01:03.4260000Z,
WARNING,Medium,regression,DaniEvent,,median interval between records changed substantially,2.369s median,14.09s in 08-31-26,regression candidate requiring review,,
WARNING,Medium,regression,SolarStillDesignEvent,,median interval between records changed substantially,1.067s median,2.334s in 08-31-26,regression candidate requiring review,,
WARNING,Medium,regression,TerasGardenBox,,baseline field(s) absent this build,data.boxID,schema change or conditional content — review,,,
WARNING,Medium,regression,chatEvent,,median interval between records changed substantially,0.232s median,721.885s in 08-31-26,regression candidate requiring review,,
WARNING,Medium,regression,gameWindowFocusEvent,,median interval between records changed substantially,95.131s median,199.213s in 08-31-26,regression candidate requiring review,,
WARNING,Medium,regression,gameWindowUnfocusEvent,,median interval between records changed substantially,107.559s median,216.72s in 08-31-26,regression candidate requiring review,,
WARNING,Medium,schema,DialogueEvent,eventKey,eventKey does not match its documented format,15 mismatch(es); e.g. 'DialogueNodeEvent:31:0' vs expected 'DialogueNodeEvent:31:2',{data.dialogueEventType}:{data.conversationId}:{data.nodeId},,wenyi090326-2.stratalog.logdata.json[5721] _id=6a9b0506485cab4c953f88bd ts=2026-09-04T17:51:02.0550000Z | wenyi090326-2.stratalog.logdata.json[5674] _id=6a9b05b2485cab4c953f8db6 ts=2026-09-04T17:53:54.5040000Z | wenyi090326-2.stratalog.logdata.json[5653] _id=6a9b05c4485cab4c953f8e62 ts=2026-09-04T17:54:12.3280000Z,observed data (dialogue-event PDF not machine-readable)
WARNING,Medium,sequence,DialogueEvent,dialogueEventType,dialogue lifecycle: finish without preceding start,12 occurrence(s),every 'DialogueFinishEvent' preceded by 'DialogueStartEvent' per conversationId,,wenyi090326-2.stratalog.logdata.json[5575] _id=6a9b066a485cab4c953f9006 ts=2026-09-04T17:56:58.7240000Z | wenyi090326-2.stratalog.logdata.json[5495] _id=6a9b06ad485cab4c953f91f2 ts=2026-09-04T17:58:05.7930000Z | wenyi090326-2.stratalog.logdata.json[4524] _id=6a9b09f9485cab4c953f998c ts=2026-09-04T18:12:10.0260000Z,observed data (dialogue-event PDF not machine-readable)
WARNING,Medium,sequence,PuzzlePieceVisibleEvent,actionType,camera centering: close without preceding open,7 occurrence(s),every 'BecameCameraUncentered' preceded by 'BecameCameraCentered' per pieceId,,wenyi090326-2.stratalog.logdata.json[5124] _id=6a9b0810485cab4c953f94e0 ts=2026-09-04T18:03:59.2570000Z | wenyi090326-2.stratalog.logdata.json[5064] _id=6a9b0817485cab4c953f9558 ts=2026-09-04T18:04:07.2610000Z | wenyi090326-2.stratalog.logdata.json[4838] _id=6a9b083a485cab4c953f9726 ts=2026-09-04T18:04:39.9440000Z,08-13-26/Investigation-results/puzzle-piece-visible-event.md
WARNING,Medium,sequence,PuzzlePieceVisibleEvent,actionType,piece visibility: close without preceding open,8 occurrence(s),every 'BecameInvisible' preceded by 'BecameVisible' per pieceId,,wenyi090326-2.stratalog.logdata.json[5316] _id=6a9b0801485cab4c953f938e ts=2026-09-04T18:03:06.5470000Z | wenyi090326-2.stratalog.logdata.json[5312] _id=6a9b0801485cab4c953f939a ts=2026-09-04T18:03:06.7810000Z | wenyi090326-2.stratalog.logdata.json[5214] _id=6a9b0807485cab4c953f943c ts=2026-09-04T18:03:46.1840000Z,08-13-26/Investigation-results/puzzle-piece-visible-event.md
WARNING,Medium,sequence,argumentationEvent,actionType,argumentation session: close without preceding open,2 occurrence(s),every 'argumentationSessionClose' preceded by 'argumentationSessionOpen' per argumentationTitle,,wenyi090326-2.stratalog.logdata.json[3121] _id=6a9b1132485cab4c953fa6fe ts=2026-09-04T18:42:58.9760000Z | wenyi090326-2.stratalog.logdata.json[1219] _id=6a9b1a29485cab4c953fb5e6 ts=2026-09-04T19:21:13.3390000Z,08-13-26/Investigation-results/argumentation-event-investigation.md
WARNING,Medium,sequence,argumentationNodeEvent,actionType,node hover: close without preceding open,2 occurrence(s),every 'argumentationNodeHoverEnd' preceded by 'argumentationNodeHoverStart' per nodeName,,wenyi090326-2.stratalog.logdata.json[5542] _id=6a9b0688485cab4c953f912a ts=2026-09-04T17:57:28.3360000Z | wenyi090326-2.stratalog.logdata.json[3628] _id=6a9b0dec485cab4c953fa27a ts=2026-09-04T18:29:00.3740000Z,08-13-26/Investigation-results/argumentation-node-event-investigation.md
WARNING,Medium,sequence,chatEvent,actionType,chat open/close: close without preceding open,2 occurrence(s),every 'Close' preceded by 'Open',,wenyi090326-2.stratalog.logdata.json[908] _id=6a9b1b97485cab4c953fb858 ts=2026-09-04T19:27:19.2840000Z | wenyi090326-2.stratalog.logdata.json[449] _id=6a9b1d49485cab4c953fbbee ts=2026-09-04T19:34:33.8270000Z,08-13-26/Investigation-results/chat-event-investigation.md
WARNING,Medium,sequence,questEvent,questEventType,quest lifecycle: finish without preceding start,3 occurrence(s),every 'questFinishEvent' preceded by 'questActiveEvent' per questID,,wenyi090326-2.stratalog.logdata.json[3014] _id=6a9b121c485cab4c953fa7da ts=2026-09-04T18:46:53.1600000Z | wenyi090326-2.stratalog.logdata.json[2012] _id=6a9b170a485cab4c953fafb6 ts=2026-09-04T19:07:54.8730000Z | wenyi090326-2.stratalog.logdata.json[539] _id=6a9b1cda485cab4c953fbb3a ts=2026-09-04T19:32:43.1240000Z,08-13-26/Investigation-results/quest-event-investigation.md
WARNING,Medium,temporal,,,records without a parseable client timestamp,3 records,,,wenyi090326-2.stratalog.logdata.json[5834] _id=6a9b11eb485cab4c953fa7c4 ts=? | wenyi090326-2.stratalog.logdata.json[5836] _id=6a9b14e9485cab4c953fac78 ts=? | wenyi090326-2.stratalog.logdata.json[5835] _id=6a9b16bf485cab4c953faee8 ts=?,
WARNING,Low,schema,gameStartEvent,data.<empty>,field name is an empty string,path data.<empty> in 7 records,a descriptive field name,types: {'bool': 7},wenyi090326-2.stratalog.logdata.json[5833] _id=6a9b042c485cab4c953f8586 ts=2026-09-04T17:47:25.0870000Z | wenyi090326-2.stratalog.logdata.json[5419] _id=6a9b0777485cab4c953f928e ts=2026-09-04T18:01:27.1580000Z | wenyi090326-2.stratalog.logdata.json[3524] _id=6a9b0ec2485cab4c953fa3da ts=2026-09-04T18:32:35.1500000Z,
WARNING,Low,schema,gameWindowFocusEvent,data.<empty>,field name is an empty string,path data.<empty> in 26 records,a descriptive field name,types: {'bool': 26},wenyi090326-2.stratalog.logdata.json[5753] _id=6a9b04d8485cab4c953f875a ts=2026-09-04T17:50:16.9890000Z | wenyi090326-2.stratalog.logdata.json[5693] _id=6a9b05a6485cab4c953f8d56 ts=2026-09-04T17:53:42.7990000Z | wenyi090326-2.stratalog.logdata.json[5598] _id=6a9b0605485cab4c953f8f8a ts=2026-09-04T17:55:17.9300000Z,
WARNING,Low,schema,gameWindowUnfocusEvent,data.<empty>,field name is an empty string,path data.<empty> in 27 records,a descriptive field name,types: {'bool': 27},wenyi090326-2.stratalog.logdata.json[5761] _id=6a9b048d485cab4c953f86e6 ts=2026-09-04T17:49:01.8230000Z | wenyi090326-2.stratalog.logdata.json[5700] _id=6a9b0567485cab4c953f8b0a ts=2026-09-04T17:52:40.1410000Z | wenyi090326-2.stratalog.logdata.json[5599] _id=6a9b0603485cab4c953f8f86 ts=2026-09-04T17:55:15.8180000Z,
WARNING,Low,sequence,PuzzlePieceVisibleEvent,actionType,camera centering: repeated open with no intervening close,32 occurrence(s),,,wenyi090326-2.stratalog.logdata.json[5200] _id=6a9b0808485cab4c953f9452 ts=2026-09-04T18:03:49.7210000Z | wenyi090326-2.stratalog.logdata.json[5122] _id=6a9b0810485cab4c953f94e4 ts=2026-09-04T18:03:59.4910000Z | wenyi090326-2.stratalog.logdata.json[5121] _id=6a9b0810485cab4c953f94e6 ts=2026-09-04T18:03:59.7570000Z,08-13-26/Investigation-results/puzzle-piece-visible-event.md
WARNING,Low,sequence,PuzzlePieceVisibleEvent,actionType,piece visibility: repeated open with no intervening close,90 occurrence(s),,,wenyi090326-2.stratalog.logdata.json[5317] _id=6a9b0801485cab4c953f938a ts=2026-09-04T18:03:06.4500000Z | wenyi090326-2.stratalog.logdata.json[5309] _id=6a9b0802485cab4c953f93a2 ts=2026-09-04T18:03:06.9810000Z | wenyi090326-2.stratalog.logdata.json[5289] _id=6a9b0802485cab4c953f93a6 ts=2026-09-04T18:03:36.1970000Z,08-13-26/Investigation-results/puzzle-piece-visible-event.md
