progress_point,name,log_support_status,confidence,activity_reached,deps_total,SUPPORTED_EXACTLY,SUPPORTED_WITH_SCHEMA_CHANGE,SUPPORTED_WITH_IDENTIFIER_CHANGE,PARTIALLY_SUPPORTED,NOT_OBSERVED_IN_PLAYTHROUGH,LIKELY_MISSING_FROM_CURRENT_LOGGING,AMBIGUOUS,NOT_REQUIRED,semantic_flags,rationale
U1P1,Getting Your Space Legs,READY_FOR_GRADING_TEST,HIGH,True,2,2,0,0,0,0,0,0,0,,all window anchors and required evidence observed in current logs
U1P2,Info and Intros,READY_FOR_GRADING_TEST,HIGH,True,2,2,0,0,0,0,0,0,0,,all window anchors and required evidence observed in current logs
U1P3,Defend the Expedition (Argumentation: Identify a claim),READY_FOR_GRADING_TEST,MEDIUM,True,3,2,0,0,0,1,0,0,0,DOC_PROD_REFERENCE_MISMATCH,all window anchors and required evidence observed in current logs | 1 doc-vs-production reference mismatch(es) noted — grading is testable but its alignment with rubric intent needs review
U1P4,Unexpected Turbulence,READY_FOR_GRADING_TEST,MEDIUM,True,2,2,0,0,0,0,0,0,0,DOC_PROD_REFERENCE_MISMATCH,all window anchors and required evidence observed in current logs | 1 doc-vs-production reference mismatch(es) noted — grading is testable but its alignment with rubric intent needs review
U2P1,Escape the Ruins + Topographic Glyph (Identify Topographic map features),READY_FOR_GRADING_TEST,MEDIUM,True,8,3,0,0,0,5,0,0,0,DOC_PROD_REFERENCE_MISMATCH,all window anchors and required evidence observed in current logs | 1 doc-vs-production reference mismatch(es) noted — grading is testable but its alignment with rubric intent needs review
U2P2,Foraged Forging + Finding Toppo (Find geographic locations on topographic map),READY_FOR_GRADING_TEST,MEDIUM,True,8,2,0,0,0,6,0,0,0,DOC_PROD_REFERENCE_MISMATCH,all window anchors and required evidence observed in current logs | 1 doc-vs-production reference mismatch(es) noted — grading is testable but its alignment with rubric intent needs review
U2P3,"Finding Tera & Aryn
(Find geographic locations on topographic map)",READY_FOR_GRADING_TEST,MEDIUM,True,36,3,0,0,0,33,0,0,0,DOC_PROD_REFERENCE_MISMATCH,all window anchors and required evidence observed in current logs | 1 doc-vs-production reference mismatch(es) noted — grading is testable but its alignment with rubric intent needs review
U2P4,"Investigate the Temple & Watershed Glyph
(Relate watershed size to flow rate through main river)",READY_FOR_GRADING_TEST,MEDIUM,True,7,3,0,0,0,4,0,0,0,DOC_PROD_REFERENCE_MISMATCH,all window anchors and required evidence observed in current logs | 1 doc-vs-production reference mismatch(es) noted — grading is testable but its alignment with rubric intent needs review
U2P5,Getting the Band Back Together (Identify the parts of a scientific argument),READY_FOR_GRADING_TEST,MEDIUM,True,55,7,0,0,0,48,0,0,0,DOC_PROD_REFERENCE_MISMATCH,all window anchors and required evidence observed in current logs | 2 doc-vs-production reference mismatch(es) noted — grading is testable but its alignment with rubric intent needs review
U2P6,Drone Tutorial +Data Collection (Relate watershed size to flow rate through main river),READY_FOR_GRADING_TEST,MEDIUM,True,5,3,0,0,0,2,0,0,0,DOC_PROD_REFERENCE_MISMATCH,all window anchors and required evidence observed in current logs | 2 doc-vs-production reference mismatch(es) noted — grading is testable but its alignment with rubric intent needs review
