event_key,conversation_title,referenced_by,reference_sources,roles,in_xlsx,in_export,text_agrees,observed_count,status,confidence,xlsx_text,export_text,relocation_candidates,note,evidence
DialogueNodeEvent:10:1,U3/Tera,U3P1,docs;grading,U3P1:doc-start-marker,True,True,True,1,EXACT_MATCH,HIGH,"No, this angle's never going to work. You can't even see the lean-to!","No, this angle's never going to work. You can't even see the lean-to!",,ID exists in current dialogue DB and fired in this playthrough,"xlsx[10,1]=""No, this angle's never going to work. You can't even see the"" || export[10,1]=""No, this angle's never going to work. You can't even see the"" || observed x1, e.g. _id=6aaac46f485cab4c95454e1e ts=2026-09-16T16:31:43.4960000Z (wenyi091426-3.stratalog.logdata.json)"
DialogueNodeEvent:10:30,U3/Tera,U3P1,grading,U3P1:Target,True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,"Looks like you picked the right river, and where you dropped the crate was upstream of my base! Thanks!","Looks like you picked the right river, and where you dropped the crate was upstream of my base! Thanks!",,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[10,30]='Looks like you picked the right river, and where you dropped' || export[10,30]='Looks like you picked the right river, and where you dropped'"
DialogueNodeEvent:10:194,U3/Tera,U3P5,docs;grading,U3P5:Trigger;U3P5:doc-end-marker,True,True,True,1,EXACT_MATCH,HIGH,"Thank you, deputy. Brilliant work today. I knew you were the right choice. The food Tera’s going to supply the base with the help of the super nutrient will be able to keep us fed indefinitely.","Thank you, deputy. Brilliant work today. I knew you were the right choice. The food Tera’s going to supply the base with the help of the super nutrient will be able to keep us fed indefinitely.",,ID exists in current dialogue DB and fired in this playthrough,"xlsx[10,194]='Thank you, deputy. Brilliant work today. I knew you were the' || export[10,194]='Thank you, deputy. Brilliant work today. I knew you were the' || observed x1, e.g. _id=6aaaceee485cab4c95455c96 ts=2026-09-16T17:16:30.4560000Z (wenyi091426-3.stratalog.logdata.json)"
DialogueNodeEvent:11:22,U3/DANI,U3P1,grading,U3P1:Trigger,True,True,True,1,EXACT_MATCH,HIGH,"Hey, TK! Looks like the last crates are back. And, you bought me enough time to get all of our seeds planted! Mind getting back here and helping me get the last of the equipment set up?","Hey, TK! Looks like the last crates are back. And, you bought me enough time to get all of our seeds planted! Mind getting back here and helping me get the last of the equipment set up?",,ID exists in current dialogue DB and fired in this playthrough,"xlsx[11,22]='Hey, TK! Looks like the last crates are back. And, you bough' || export[11,22]='Hey, TK! Looks like the last crates are back. And, you bough' || observed x1, e.g. _id=6aaac6de485cab4c95454f4a ts=2026-09-16T16:42:06.8550000Z (wenyi091426-3.stratalog.logdata.json)"
DialogueNodeEvent:11:27,U3/DANI,U3P2,grading,U3P2:Penalty group 1,True,True,True,5,EXACT_MATCH,HIGH,"Pollution will only flow downstream, so we need to test further upstream.","Pollution will only flow downstream, so we need to test further upstream.",,ID exists in current dialogue DB and fired in this playthrough,"xlsx[11,27]='Pollution will only flow downstream, so we need to test furt' || export[11,27]='Pollution will only flow downstream, so we need to test furt' || observed x5, e.g. _id=6aaac7dd485cab4c9545501a ts=2026-09-16T16:46:22.1730000Z (wenyi091426-3.stratalog.logdata.json)"
DialogueNodeEvent:11:29,U3/DANI,U3P2,grading,U3P2:Penalty group 2,True,True,True,4,EXACT_MATCH,HIGH,Green checkmark means clean. You won't need to check upstream of a clean sensor.,Green checkmark means clean. You won't need to check upstream of a clean sensor.,,ID exists in current dialogue DB and fired in this playthrough,"xlsx[11,29]=""Green checkmark means clean. You won't need to check upstrea"" || export[11,29]=""Green checkmark means clean. You won't need to check upstrea"" || observed x4, e.g. _id=6aaac7ed485cab4c95455048 ts=2026-09-16T16:46:37.9640000Z (wenyi091426-3.stratalog.logdata.json)"
DialogueNodeEvent:11:34,U3/DANI,U3P2;U3P3,docs;grading,U3P2:Trigger;U3P2:doc-end-marker;U3P3:doc-start-marker,True,True,True,1,EXACT_MATCH,HIGH,"I have overlaid the collected sensor data on the map. [em6]By observing the clean versus polluted areas of the river, you have determined the source of the pollution.[/em6] This information should hel","I have overlaid the collected sensor data on the map. [em6]By observing the clean versus polluted areas of the river, you have determined the source of the pollution.[/em6] This information should hel",,ID exists in current dialogue DB and fired in this playthrough,"xlsx[11,34]='I have overlaid the collected sensor data on the map. [em6]B' || export[11,34]='I have overlaid the collected sensor data on the map. [em6]B' || observed x1, e.g. _id=6aaac8dd485cab4c954552b6 ts=2026-09-16T16:50:37.6840000Z (wenyi091426-3.stratalog.logdata.json)"
DialogueNodeEvent:11:230,U3/DANI,U3P2,grading,U3P2:Penalty group 2,True,True,True,4,EXACT_MATCH,HIGH,You are as far upstream as you can go in this branch. Please proceed downstream.,You are as far upstream as you can go in this branch. Please proceed downstream. ,,ID exists in current dialogue DB and fired in this playthrough,"xlsx[11,230]='You are as far upstream as you can go in this branch. Please' || export[11,230]='You are as far upstream as you can go in this branch. Please' || observed x4, e.g. _id=6aaac7f4485cab4c9545505c ts=2026-09-16T16:46:44.7840000Z (wenyi091426-3.stratalog.logdata.json)"
DialogueNodeEvent:18:1,U2/DANI,U2P1,grading,,True,True,True,1,EXACT_MATCH,HIGH,C-c-c-communication sys-systems are re-restoring. I am… active.,C-c-c-communication sys-systems are re-restoring. I am… active.,,ID exists in current dialogue DB and fired in this playthrough,"xlsx[18,1]='C-c-c-communication sys-systems are re-restoring. I am… acti' || export[18,1]='C-c-c-communication sys-systems are re-restoring. I am… acti' || observed x1, e.g. _id=6aa9ed13485cab4c9544f633 ts=2026-09-16T01:12:51.5220000Z (wenyi091426-3.stratalog.logdata.json)"
DialogueNodeEvent:18:99,U2/DANI,U2P2,docs,,True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,Anderson said that Toppo’s pod was northwest of our original location. We should look for a location on a hill at an elevation of approximately 90 feet. Remember you can move the waypoint on your map ,Anderson said that Toppo’s pod was northwest of our original location. We should look for a location on a hill at an elevation of approximately 90 feet. Remember you can move the waypoint on your map ,,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[18,99]='Anderson said that Toppo’s pod was northwest of our original' || export[18,99]='Anderson said that Toppo’s pod was northwest of our original'"
DialogueNodeEvent:18:223,U2/DANI,U2P2,docs,,True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,"Remember to use your map. To open it, [press M/tap the Map button]..","Remember to use your map. To open it, [press M/tap the Map button]..",,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[18,223]='Remember to use your map. To open it, [press M/tap the Map b' || export[18,223]='Remember to use your map. To open it, [press M/tap the Map b'"
DialogueNodeEvent:18:224,U2/DANI,U2P2,docs,,True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,"We need to find Toppo soon, TK. Use your map to find an area on a hill at an elevation of approximately 90 feet.","We need to find Toppo soon, TK. Use your map to find an area on a hill at an elevation of approximately 90 feet.",,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[18,224]='We need to find Toppo soon, TK. Use your map to find an area' || export[18,224]='We need to find Toppo soon, TK. Use your map to find an area'"
DialogueNodeEvent:18:225,U2/DANI,U2P3,docs;grading,U2P3:Target (wrong direction),True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,Anderson said that Tera’s pod was beside a nearby river. Let’s look for a river closer to where we started.,Anderson said that Tera’s pod was beside a nearby river. Let’s look for a river closer to where we started.,,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[18,225]='Anderson said that Tera’s pod was beside a nearby river. Let' || export[18,225]='Anderson said that Tera’s pod was beside a nearby river. Let'"
DialogueNodeEvent:18:226,U2/DANI,U2P3,docs;grading,U2P3:Target (wrong direction),True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,This area has a fairly high elevation. We’re looking for an area with low elevation. Check your map and see if you can find any good candidates on the eastern shore of a river.,This area has a fairly high elevation. We’re looking for an area with low elevation. Check your map and see if you can find any good candidates on the eastern shore of a river.,,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[18,226]='This area has a fairly high elevation. We’re looking for an ' || export[18,226]='This area has a fairly high elevation. We’re looking for an '"
DialogueNodeEvent:18:227,U2/DANI,U2P3,docs;grading,U2P3:Target (wrong direction),True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,"Tera’s pod crashed on the eastern shore of a river, but we’re on the western shore. We should make our way to the eastern shore of this river.  Check the compass rose on your map to find it.","Tera’s pod crashed on the eastern shore of a river, but we’re on the western shore. We should make our way to the eastern shore of this river.  Check the compass rose on your map to find it.",,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[18,227]='Tera’s pod crashed on the eastern shore of a river, but we’r' || export[18,227]='Tera’s pod crashed on the eastern shore of a river, but we’r'"
DialogueNodeEvent:18:228,U2/DANI,U2P3,docs;grading,U2P3:Target (wrong direction),True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,"Looks like you found an island, Tera's pod is not on an island. Check your map to see if you can find an area of around 0 feet elevation north of Toppo's location along a river.","Looks like you found an island, Tera's pod is not on an island. Check your map to see if you can find an area of around 0 feet elevation north of Toppo's location along a river.",,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[18,228]=""Looks like you found an island, Tera's pod is not on an isla"" || export[18,228]=""Looks like you found an island, Tera's pod is not on an isla"""
DialogueNodeEvent:18:229,U2/DANI,U2P3,docs;grading,U2P3:Target (wrong direction),True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,"You found an area of low elevation on this river’s eastern shore, but I don’t see Tera’s pod anywhere. Check your map to see if there’s another area of low elevation along this same shoreline. Maybe T","You found an area of low elevation on this river’s eastern shore, but I don’t see Tera’s pod anywhere. Check your map to see if there’s another area of low elevation along this same shoreline. Maybe T",,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[18,229]='You found an area of low elevation on this river’s eastern s' || export[18,229]='You found an area of low elevation on this river’s eastern s'"
DialogueNodeEvent:18:230,U2/DANI,U2P3,docs;grading,U2P3:Target (wrong direction),True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,Try to find Tera as soon as you can. Use your map to find a river nearby then look for an area with an elevation of around 0 feet on its eastern shore.,Try to find Tera as soon as you can. Use your map to find a river nearby then look for an area with an elevation of around 0 feet on its eastern shore.,,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[18,230]='Try to find Tera as soon as you can. Use your map to find a ' || export[18,230]='Try to find Tera as soon as you can. Use your map to find a '"
DialogueNodeEvent:18:233,U2/DANI,U2P3,grading,U2P3:Target (wrong direction),True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,Looks like you found a passage that cuts into a mountain but we’re looking for one that cuts all the way through to the other side. Check your map and see if you can find one.,Looks like you found a passage that cuts into a mountain but we’re looking for one that cuts all the way through to the other side. Check your map and see if you can find one.,,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[18,233]='Looks like you found a passage that cuts into a mountain but' || export[18,233]='Looks like you found a passage that cuts into a mountain but'"
DialogueNodeEvent:18:234,U2/DANI,U2P3,grading,U2P3:Target (wrong direction),True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,I don’t see a steep mountain range over here anywhere. Open your map and see if you can find an area of even higher elevation that is surrounded by contour lines close together. Then you just need to ,I don’t see a steep mountain range over here anywhere. Open your map and see if you can find an area of even higher elevation that is surrounded by contour lines close together. Then you just need to ,,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[18,234]='I don’t see a steep mountain range over here anywhere. Open ' || export[18,234]='I don’t see a steep mountain range over here anywhere. Open '"
DialogueNodeEvent:18:235,U2/DANI,U2P3,grading,U2P3:Target (wrong direction),True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,"Looks like you found a small mountain, but Aryn crashed in a passage that runs through a mountain range. Look for a path that passes through several mountains joined together.","Looks like you found a small mountain, but Aryn crashed in a passage that runs through a mountain range. Look for a path that passes through several mountains joined together.",,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[18,235]='Looks like you found a small mountain, but Aryn crashed in a' || export[18,235]='Looks like you found a small mountain, but Aryn crashed in a'"
DialogueNodeEvent:18:236,U2/DANI,U2P3,grading,U2P3:Target (wrong direction),True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,"Great, a mountain range! Let’s look for a passage like this somewhere on the map that cuts all the way through the mountains.","Great, a mountain range! Let’s look for a passage like this somewhere on the map that cuts all the way through the mountains.",,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[18,236]='Great, a mountain range! Let’s look for a passage like this ' || export[18,236]='Great, a mountain range! Let’s look for a passage like this '"
DialogueNodeEvent:18:237,U2/DANI,U2P3,grading,U2P3:Target (wrong direction),True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,Aryn might need our help. We should try to find him as soon as possible. Check your map and look for a mountain range with a passage that goes all the way through to the other side.,Aryn might need our help. We should try to find him as soon as possible. Check your map and look for a mountain range with a passage that goes all the way through to the other side.,,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[18,237]='Aryn might need our help. We should try to find him as soon ' || export[18,237]='Aryn might need our help. We should try to find him as soon '"
DialogueNodeEvent:18:284,U2/DANI,U2P6;U2P7,docs,U2P6:doc-end-marker;U2P7:doc-start-marker,True,True,,1,EXACT_MATCH,MEDIUM,,,,ID exists in current dialogue DB and fired in this playthrough,"xlsx[18,284]='' || export[18,284]='' || observed x1, e.g. _id=6aaab5a2485cab4c95454b9e ts=2026-09-16T15:28:34.6200000Z (wenyi091426-3.stratalog.logdata.json)"
DialogueNodeEvent:19:46,U2/Anderson,U2P2,docs,,True,True,True,1,EXACT_MATCH,HIGH,You may now place your own waypoints on the map. These may assist you in navigating the world. [Click/Tap] and drag to move a waypoint from the glowing box to the map.Try placing a waypoint where you ,You may now place your own waypoints on the map. These may assist you in navigating the world. [Click/Tap] and drag to move a waypoint from the glowing box to the map.Try placing a waypoint where you ,,ID exists in current dialogue DB and fired in this playthrough,"xlsx[19,46]='You may now place your own waypoints on the map. These may a' || export[19,46]='You may now place your own waypoints on the map. These may a' || observed x1, e.g. _id=6aa9f154485cab4c95450e0d ts=2026-09-16T01:31:00.2530000Z (wenyi091426-3.stratalog.logdata.json)"
DialogueNodeEvent:20:1,U2/Toppo,U2P2,docs,,True,True,True,1,EXACT_MATCH,HIGH,"Everyone MIA, no radio responses… where ARE they?","Everyone MIA, no radio responses… where ARE they?",,ID exists in current dialogue DB and fired in this playthrough,"xlsx[20,1]='Everyone MIA, no radio responses… where ARE they?' || export[20,1]='Everyone MIA, no radio responses… where ARE they?' || observed x1, e.g. _id=6aa9f1f8485cab4c9545108b ts=2026-09-16T01:33:44.8760000Z (wenyi091426-3.stratalog.logdata.json)"
DialogueNodeEvent:20:26,U2/Toppo,U2P2;U2P3,docs;grading,U2P2:Trigger / End;U2P2:doc-end-marker;U2P3:doc-start-marker,True,True,True,1,EXACT_MATCH,HIGH,Getting a call from Anderson. Patching her through.,Getting a call from Anderson. Patching her through.,,ID exists in current dialogue DB and fired in this playthrough,"xlsx[20,26]='Getting a call from Anderson. Patching her through.' || export[20,26]='Getting a call from Anderson. Patching her through.' || observed x1, e.g. _id=6aa9f263485cab4c95451241 ts=2026-09-16T01:35:31.9570000Z (wenyi091426-3.stratalog.logdata.json)"
DialogueNodeEvent:20:33,U2/Toppo,U2P3,docs;grading,U2P3:Start,True,True,True,1,EXACT_MATCH,HIGH,Go ahead and place a waypoint where you believe Tera may be.,Go ahead and place a waypoint where you believe Tera may be.,,ID exists in current dialogue DB and fired in this playthrough,"xlsx[20,33]='Go ahead and place a waypoint where you believe Tera may be.' || export[20,33]='Go ahead and place a waypoint where you believe Tera may be.' || observed x1, e.g. _id=6aa9f281485cab4c95451293 ts=2026-09-16T01:36:02.0580000Z (wenyi091426-3.stratalog.logdata.json)"
DialogueNodeEvent:20:43,U2/Toppo,U2P6,docs;grading,U2P6:Pass (correct choice),True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,Flow rate.,Flow rate.,,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[20,43]='Flow rate.' || export[20,43]='Flow rate.'"
DialogueNodeEvent:20:44,U2/Toppo,U2P6,docs;grading,U2P6:Yellow (wrong choice),True,True,True,1,EXACT_MATCH,HIGH,Waterfall height.,Waterfall height.,,ID exists in current dialogue DB and fired in this playthrough,"xlsx[20,44]='Waterfall height.' || export[20,44]='Waterfall height.' || observed x1, e.g. _id=6aaab623485cab4c95454bce ts=2026-09-16T15:30:44.0640000Z (wenyi091426-3.stratalog.logdata.json)"
DialogueNodeEvent:20:45,U2/Toppo,U2P6,docs;grading,U2P6:Yellow (wrong choice),True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,Salinity.,Salinity.,,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[20,45]='Salinity.' || export[20,45]='Salinity.'"
DialogueNodeEvent:20:46,U2/Toppo,U2P6;U2P7,grading,U2P6:Trigger (End),True,True,True,1,EXACT_MATCH,HIGH,"Okay, let’s put your thinking to the test using DANI’s argumentation system. You’ll use the claims and evidence you’ve collected to make an argument.\r\r","Okay, let’s put your thinking to the test using DANI’s argumentation system. You’ll use the claims and evidence you’ve collected to make an argument.\r\r",,ID exists in current dialogue DB and fired in this playthrough,"xlsx[20,46]='Okay, let’s put your thinking to the test using DANI’s argum' || export[20,46]='Okay, let’s put your thinking to the test using DANI’s argum' || observed x1, e.g. _id=6aaab65d485cab4c95454bdc ts=2026-09-16T15:31:41.2260000Z (wenyi091426-3.stratalog.logdata.json)"
DialogueNodeEvent:20:74,U2/Toppo,U2P7,docs,U2P7:doc-end-marker,True,True,True,1,EXACT_MATCH,HIGH,"Thank you, Captain!","Thank you, Captain!",,ID exists in current dialogue DB and fired in this playthrough,"xlsx[20,74]='Thank you, Captain!' || export[20,74]='Thank you, Captain!' || observed x1, e.g. _id=6aaab7fd485cab4c95454d90 ts=2026-09-16T15:38:38.0100000Z (wenyi091426-3.stratalog.logdata.json)"
DialogueNodeEvent:20:75,U2/Toppo,U2P7,docs,U2P7:doc-end-marker,True,True,True,0,EXPECTED_DIALOGUE_NOT_OBSERVED,MEDIUM,I’ll be waiting for the next promotion!,I’ll be waiting for the next promotion!,,ID exists in current dialogue DB but did not fire in this playthrough (may be conditional dialogue),"xlsx[20,75]='I’ll be waiting for the next promotion!' || export[20,75]='I’ll be waiting for the next promotion!'"
DialogueNodeEvent:21:1,U2/Tera,U2P3,docs,,True,True,True,1,EXACT_MATCH,HIGH,"Hey, TK! Thanks for stopping by. What’s up?","Hey, TK! Thanks for stopping by. What’s up?",,ID exists in current dialogue DB and fired in this playthrough,"xlsx[21,1]='Hey, TK! Thanks for stopping by. What’s up?' || export[21,1]='Hey, TK! Thanks for stopping by. What’s up?' || observed x1, e.g. _id=6aa9f397485cab4c95451575 ts=2026-09-16T01:40:40.1800000Z (wenyi091426-3.stratalog.logdata.json)"
DialogueNodeEvent:21:15,U2/Tera,U2P3,docs,,True,True,True,1,EXACT_MATCH,HIGH,"Please open your map, TK.","Please open your map, TK.",,ID exists in current dialogue DB and fired in this playthrough,"xlsx[21,15]='Please open your map, TK.' || export[21,15]='Please open your map, TK.' || observed x1, e.g. _id=6aa9f3ef485cab4c9545167d ts=2026-09-16T01:42:07.2550000Z (wenyi091426-3.stratalog.logdata.json)"
DialogueNodeEvent:22:1,U2/Aryn,U2P3,docs;grading,U2P3:End (analytics),True,True,True,1,EXACT_MATCH,HIGH,"Oh, thank goodness!","Oh, thank goodness!",,ID exists in current dialogue DB and fired in this playthrough,"xlsx[22,1]='Oh, thank goodness!' || export[22,1]='Oh, thank goodness!' || observed x1, e.g. _id=6aa9f4e5485cab4c95451865 ts=2026-09-16T01:46:13.3830000Z (wenyi091426-3.stratalog.logdata.json)"
DialogueNodeEvent:22:18,U2/Aryn,U2P3;U2P4,docs;grading,U2P3:Trigger;U2P3:doc-end-marker;U2P4:doc-start-marker,True,True,True,1,EXACT_MATCH,HIGH,We have located all crewmembers except for Jasper. Calling Anderson and Toppo now.,We have located all crewmembers except for Jasper. Calling Anderson and Toppo now.,,ID exists in current dialogue DB and fired in this playthrough,"xlsx[22,18]='We have located all crewmembers except for Jasper. Calling A' || export[22,18]='We have located all crewmembers except for Jasper. Calling A' || observed x1, e.g. _id=6aa9f53a485cab4c95451941 ts=2026-09-16T01:47:38.9380000Z (wenyi091426-3.stratalog.logdata.json)"
DialogueNodeEvent:23:17,U2/Jasper,U2P4;U2P5,docs;grading,U2P4:Trigger;U2P4:doc-end-marker;U2P5:doc-start-marker,True,True,True,1,EXACT_MATCH,HIGH,"Looks like you found Jasper. Good work, deputy.","Looks like you found Jasper. Good work, deputy. ",,ID exists in current dialogue DB and fired in this playthrough,"xlsx[23,17]='Looks like you found Jasper. Good work, deputy.' || export[23,17]='Looks like you found Jasper. Good work, deputy. ' || observed x1, e.g. _id=6aaaae04485cab4c95454758 ts=2026-09-16T14:56:04.6160000Z (wenyi091426-3.stratalog.logdata.json)"
